model,cost_bps,cumulative_log_return,cumulative_simple_return,annualised_return,annualised_vol,sharpe,max_drawdown,calmar,win_rate,avg_win,avg_loss,win_loss_ratio,turnover
logistic,0,0.04940845305371272,0.05064940406746432,0.032938968702475147,0.0897525627819322,0.3669975283324833,-0.11832197879829187,0.2783841940188264,0.14814814814814814,0.008302943256092463,-0.009444462938351482,0.8791334467920238,
logistic,5,0.03140845305371271,0.03190690334553481,0.020938968702475143,0.0897942948210074,0.23318818577743836,-0.11832197879829143,0.1769660118528841,0.14285714285714285,0.008507980973681276,-0.0066878518675793155,1.272154518691629,
logistic,10,0.01340845305371273,0.013498749487507844,0.008938968702475153,0.08989657490985893,0.09943614327284919,-0.11832197879829154,0.07554782968694083,0.1402116402116402,0.00857822622659771,-0.006788269799322554,1.2636837486120231,
logistic,20,-0.022591546946287268,-0.022338268849591558,-0.015061031297524846,0.09028183428409796,-0.16682238920989295,-0.11832197879829076,-0.12728853464494638,0.13227513227513227,0.008954887577370306,-0.006916704791394155,1.294675405044333,
majority,0,0.13741621049884636,0.14730556978316445,0.09161080699923091,0.1681374507218362,0.5448566432162119,-0.18755233666641324,0.4884546288653972,0.5370370370370371,0.006468806518147988,-0.006757192601639054,0.9573216126145178,
majority,5,0.13441621049884636,0.14386881078987335,0.08961080699923091,0.16791110371488055,0.5336800546043308,-0.18755233666641313,0.4777909387426918,0.5370370370370371,0.00645895430139922,-0.0067629397280758365,0.9550512885077707,
majority,10,0.13141621049884636,0.1404423466236011,0.0876108069992309,0.1676903355624942,0.5224559108034013,-0.18755233666641313,0.4671272486199861,0.5343915343915344,0.00648126396001606,-0.006730280625282273,0.9630005524092439,
majority,20,0.12541621049884635,0.13362017951168448,0.0836108069992309,0.16726562362329608,0.49986844390413,-0.1875523366664137,0.4457998683745734,0.5343915343915344,0.006466412474867545,-0.006747423482425131,0.9583528426384487,
naive,0,-0.06478713834057181,-0.06273304965653648,-0.04319142556038121,0.10110467397000389,-0.42719514206826287,-0.13946988782698688,-0.309682801308053,0.2566137566137566,0.00581638428278799,-0.00593373975255667,0.9802223429637077,
naive,5,-0.17178713834057185,-0.15784158267106596,-0.11452475889371456,0.10113868145854239,-1.1323536874529974,-0.16465500493116914,-0.6955437457949696,0.25132275132275134,0.0056760691432602315,-0.0033380925208933983,1.7003929962196205,
naive,10,-0.27878713834057184,-0.2432990413050673,-0.1858580922270479,0.10132921620560835,-1.8342004328733876,-0.24829436291723517,-0.7485393145594716,0.23809523809523808,0.005729093478842814,-0.0036440621625524095,1.5721722691003674,
naive,20,-0.49278713834057186,-0.3890787030525338,-0.3285247588937146,0.10217564552974369,-3.215294184738768,-0.3912882691619114,-0.8395977717332848,0.21957671957671956,0.00571975181356445,-0.004300117950517427,1.3301383541993772,
rf,0,0.2249422108298353,0.25225034759239806,0.14996147388655687,0.13338634848356765,1.1242640314501988,-0.10411692187162214,1.4403179732057563,0.2857142857142857,0.007727521498386403,-0.007007242655125245,1.1027906237461793,
rf,5,0.17794221082983525,0.19475627526606965,0.1186281405532235,0.1329607635955904,0.8922041160506525,-0.10769329666604854,1.101536903648547,0.2804232804232804,0.007736212000597571,-0.0047917631435336365,1.6144813023651625,
rf,10,0.13094221082983526,0.139901905423369,0.08729480721989018,0.13262535080232954,0.658206041995682,-0.11356588616814822,0.7686710346330544,0.2671957671957672,0.007990042283778306,-0.004863683883681825,1.6427963812750546,
rf,20,0.03694221082983528,0.03763305515229787,0.024628140553223522,0.13222760184849944,0.18625566983693284,-0.1258894971995842,0.19563300434966602,0.25925925925925924,0.00801855025605489,-0.0052737726356587595,1.5204580876007512,
buy_hold,0,0.13741621049884636,0.14730556978316445,0.09161080699923091,0.1681374507218362,0.5448566432162119,-0.18755233666641324,0.4884546288653972,0.5370370370370371,0.006468806518147988,-0.006757192601639054,,
buy_hold,5,0.13641621049884636,0.1461588376749967,0.09094414033256425,0.16794381113497367,0.5415152825100172,-0.18755233666641324,0.484900065491162,0.5370370370370371,0.006466343463960796,-0.006760066164857445,,
buy_hold,10,0.13541621049884636,0.1450132517257614,0.09027747366589758,0.16775192982544665,0.5381605669743132,-0.1875523366664137,0.48134550211692567,0.5370370370370371,0.006463880409773604,-0.0067629397280758365,,
buy_hold,20,0.13341621049884636,0.14272551372289288,0.08894414033256424,0.16737346617180857,0.5314112348086479,-0.18755233666641324,0.4742363753684563,0.5370370370370371,0.00645895430139922,-0.006768686854512617,,
