Date,rsi_14,stoch_k,stoch_d,macd_signal,macd_hist,roc_14,sma_50_dist,sma_100_dist,sma_200_dist,ema_50_dist,ema_100_dist,ema_200_dist,adx_14,bb_upper_dist,bb_lower_dist,bb_width_20,atr_14,rolling_std_20,obv_diff,vwap_dist,cmf_20,lag_ret_1,lag_ret_2,lag_ret_3,lag_ret_4,lag_ret_5,log_return,target
2010-10-19,60.047770905344336,64.66343896650137,80.57673859197787,1.2631002332827643,-0.013083635737452859,1.9742800678649444,0.04528900912082189,0.061846887998124496,0.048287643797086936,0.03179838063248766,0.04386130996159732,0.046912833328560145,22.14087789121241,-0.0178830926633942,0.03821392967655221,5.553251112365322,1.1496111463183472,0.008329998232105435,-280604700.0,0.0039588190967474275,0.07441509238594501,0.004915714657346503,0.0020409392631688867,-0.003908680901784751,0.0077472962414487445,0.003081536869161641,-0.013190873712532906,1
2010-10-20,64.45144705024383,85.42785146050893,80.99581753925837,1.2569537878663375,-0.02458578166570713,3.2769404347274227,0.054347430462564385,0.0712813961928036,0.05824743457817274,0.04016661481093881,0.05292839381664279,0.05653611024972884,21.501975393735925,-0.009888455094382907,0.045995978966099395,5.489340165515076,1.1601909366978465,0.00840722495619782,200051800.0,0.01111727264809754,0.11452690884975174,-0.013190873712532906,0.004915714657346503,0.0020409392631688867,-0.003908680901784751,0.0077472962414487445,0.009718425542674249,1
2010-10-21,65.38863373910931,83.7563890182408,77.94922648175037,1.2496109635610715,-0.029371297221064907,3.0712794070797327,0.05489722920357424,0.07250637067744788,0.06029542495649517,0.040728410245421946,0.05409804158082246,0.05824713156784096,21.362228119727693,-0.007920432014123341,0.04333130464443371,5.036008930454982,1.1792324471540196,0.008066482162254909,221585500.0,0.011073397981991709,0.14263605192167353,0.009718425542674249,-0.013190873712532906,0.004915714657346503,0.0020409392631688867,-0.003908680901784751,0.0022037229730731997,1
2010-10-22,66.20052763560116,83.25822704278963,84.14748917384645,1.2417189766261658,-0.031567947739623126,4.043974131221207,0.05492157331758021,0.0736141719306439,0.061995169253983476,0.04092501056920475,0.05489016321842544,0.05958315285190922,21.232462793862904,-0.008233295277723107,0.04441101968290368,5.1708958731493375,1.1237321284708268,0.006868964412306679,108212400.0,0.010834244591799269,0.10708270637306647,0.0022037229730731997,0.009718425542674249,-0.013190873712532906,0.004915714657346503,0.0020409392631688867,0.0018606939059212335,1
2010-10-25,67.5063123842883,76.80507481566171,81.2732302922307,1.2353040157612345,-0.025659843459725495,2.2923268849249325,0.05597667157372551,0.07590078611377937,0.06486121317320358,0.04220477160560678,0.05679571949970824,0.0620537655764037,21.90682073492069,-0.007263527220120823,0.045589237708788234,5.185899844852386,1.1198992189829229,0.0067107155026744705,151145700.0,0.011723467674481007,0.09776070161158863,0.0018606939059212335,0.0022037229730731997,0.009718425542674249,-0.013190873712532906,0.004915714657346503,0.002952819994114803,1
2010-10-26,67.5833663730625,77.24260949886438,79.10197045243858,1.2275777074625334,-0.03090523319480476,2.3183603887988355,0.05408469926503824,0.07481827398739464,0.06477279315536648,0.04065079891331725,0.05578261270796629,0.06157531104245089,21.765346674222283,-0.008879596725477359,0.04401929216414107,5.19855113712146,1.0924885450535995,0.006710380304310899,158982900.0,0.010594527520040422,0.09738133287935954,0.002952819994114803,0.0018606939059212335,0.0022037229730731997,0.009718425542674249,-0.013190873712532906,0.0001684380541706529,0
2010-10-27,64.77066474822665,66.74672970622606,73.5981380069174,1.2125197003974963,-0.06023202826014851,2.1485633825590638,0.04931922658273418,0.07038832272603691,0.061422400884486965,0.036139749333866954,0.051660183855442576,0.05791882159925417,21.05110142690797,-0.01241731405499235,0.03823367905942373,5.000551282870625,1.0935986937038173,0.006745643057502606,-190024000.0,0.00645428951165374,0.1367936495653146,0.0001684380541706529,0.002952819994114803,0.0018606939059212335,0.0022037229730731997,0.009718425542674249,-0.0028680768799256634,1
2010-10-28,64.86332276648037,66.90980770435687,70.29971563648245,1.1911343423744565,-0.08554143209215925,1.5960304455345617,0.04778864164558002,0.06932677376036202,0.06134504642674805,0.03484111983627589,0.05075930929171671,0.05748628439931874,20.811589003096575,-0.012036570923753933,0.034300386752416194,4.582681776084952,1.084871615338385,0.00666765091893248,168576000.0,0.005398049860340505,0.17652106153502714,-0.0028680768799256634,0.0001684380541706529,0.002952819994114803,0.0018606939059212335,0.0022037229730731997,0.00016897825850466683,1
2010-10-29,65.3055402262604,69.10015992606984,67.58556577888424,1.1652793683397809,-0.1034198961387025,1.5774101382702939,0.04651367705902449,0.06883623879167755,0.06190548722743747,0.034183014684880345,0.05048574247939512,0.05767687524793676,20.589184609557428,-0.011135444658946397,0.031427125491343355,4.213507440940726,1.04261655406938,0.006647871911392482,144305500.0,0.005463044542382007,0.18280763808131786,0.00016897825850466683,-0.0028680768799256634,0.0001684380541706529,0.002952819994114803,0.0018606939059212335,0.0007600490107323853,1
2010-11-01,65.51302513922829,67.11152526073961,67.70716429705543,1.1358062257218386,-0.11789257047176926,1.299028668944736,0.04473096755528525,0.06818734749905968,0.06195469600787682,0.03313273403377056,0.049783164318967364,0.05742296631329912,21.07662338170855,-0.007947320833346122,0.02443773336624023,3.212021639012684,1.0711406102582677,0.006298595865627187,174074800.0,0.004603948427381155,0.18331006560018107,0.0007600490107323853,0.00016897825850466683,-0.0028680768799256634,0.0001684380541706529,0.002952819994114803,0.00033719015566462156,1
