Date,Close,High,Low,Open,Volume
2010-01-04,84.79635620117188,84.84124788269942,83.43458667929008,84.07806075420723,118944600
2010-01-05,85.02082824707031,85.05824179083595,84.43721349876027,84.74398857382367,111579900
2010-01-06,85.0807113647461,85.29021356785614,84.87120916163605,84.93854670898989,116074400
2010-01-07,85.43987274169922,85.54462385633043,84.68416337885324,84.92359531351138,131091100
2010-01-08,85.72418212890625,85.76159568155796,85.04329999699722,85.21538863877906,126402800
2010-01-11,85.84390258789062,86.14318818085562,85.47726803204701,86.10578033598838,106375700
2010-01-12,85.04329681396484,85.45481733519773,84.71407583017339,85.27524484790531,163333500
2010-01-13,85.76160430908203,86.0010362280222,84.82632248376774,85.26028891224807,161822000
2010-01-14,85.9935302734375,86.15065689468558,85.61193378840315,85.66430932881917,115718800
2010-01-15,85.02833557128906,85.92620378448578,84.69911456248039,85.8439042407905,212283100
2010-01-19,86.09078979492188,86.14316533064837,84.99089783616024,85.01334938733325,139172700
2010-01-20,85.21539306640625,85.634397477044,84.5345108991199,85.50720052502996,216490200
2010-01-21,83.57676696777344,85.49970583500635,83.47201587839159,85.23782811155172,344859600
2010-01-22,81.71370697021484,83.6067165903922,81.62391785427282,83.20267413141444,345942400
2010-01-25,82.13268280029297,82.61155220989988,81.86332696336589,82.46190373548971,186937500
2010-01-26,81.78851318359375,82.65645735092019,81.58649484589206,81.8109590312821,211168800
2010-01-27,82.1775894165039,82.36464574912354,81.05525142078604,81.68375795830504,271863600
2010-01-28,81.23481750488281,82.49183618944313,80.7409917940765,82.4469444998714,316104000
2010-01-29,80.35192108154297,82.15514694209463,80.22472414018218,81.58649406920821,310677600
2010-02-01,81.60143280029297,81.60891665015306,80.43420339633285,80.92055088415118,187865000
2010-02-02,82.58910369873047,82.74623032126817,81.46676578759902,81.75109504519604,216327900
2010-02-03,82.1775894165039,82.66393702301623,81.93815753909101,82.21499725792408,172730700
2010-02-04,79.64112091064453,81.57902213925098,79.6261532044697,81.54161429082853,356715700
2010-02-05,79.80574035644531,79.97034518323376,78.2494298335623,79.7309132342139,493585800
2010-02-08,79.22960662841797,80.3070532960372,79.16974721165953,79.86559723307892,224166900
2010-02-09,80.2247085571289,80.92055823621249,79.51389117696525,80.15736531927934,337820500
2010-02-10,80.06759643554688,80.50904665270076,79.39419247772142,80.09752613461761,240511500
2010-02-11,80.90558624267578,80.99537531887631,79.4989249665645,79.96282663084298,223591600
2010-02-12,80.8382568359375,80.88314852429394,79.69347311480281,80.05261803866573,304622100
2010-02-16,82.1102523803711,82.19255762963103,80.67366100720871,81.45181609479833,159317500
2010-02-17,82.49935150146484,82.61158647670047,82.11027101511573,82.50682964690805,168845100
