fold_id,model,metric,value
5,majority,precision,0.5238095238095238
5,majority,recall,1.0
5,majority,f1,0.6875
5,majority,roc_auc,0.5
5,majority,log_loss,0.6925773245019208
5,naive,accuracy,0.5396825396825397
5,naive,precision,0.5606060606060606
5,naive,recall,0.5606060606060606
5,naive,f1,0.5606060606060606
5,naive,roc_auc,0.5
5,naive,log_loss,0.6931471805599454
5,rf,accuracy,0.5079365079365079
5,rf,precision,0.532258064516129
5,rf,recall,0.5
5,rf,f1,0.515625
5,rf,roc_auc,0.4941919191919192
5,rf,log_loss,0.7089428906062123
5,xgb,accuracy,0.5317460317460317
5,xgb,precision,0.5636363636363636
5,xgb,recall,0.4696969696969697
5,xgb,f1,0.512396694214876
5,xgb,roc_auc,0.5431818181818182
5,xgb,log_loss,0.8321417899074037
6,logistic,accuracy,0.4603174603174603
6,logistic,precision,0.5652173913043478
6,logistic,recall,0.35135135135135137
6,logistic,f1,0.43333333333333335
6,logistic,roc_auc,0.485966735966736
6,logistic,log_loss,0.714273166892624
6,majority,accuracy,0.5873015873015873
6,majority,precision,0.5873015873015873
6,majority,recall,1.0
6,majority,f1,0.74
6,majority,roc_auc,0.5
6,majority,log_loss,0.6807178800591828
6,naive,accuracy,0.5476190476190477
6,naive,precision,0.6164383561643836
6,naive,recall,0.6081081081081081
6,naive,f1,0.6122448979591837
6,naive,roc_auc,0.5
6,naive,log_loss,0.6931471805599454
6,rf,accuracy,0.49206349206349204
6,rf,precision,0.5833333333333334
6,rf,recall,0.47297297297297297
6,rf,f1,0.5223880597014925
6,rf,roc_auc,0.47297297297297297
6,rf,log_loss,0.7273981786692423
6,xgb,accuracy,0.47619047619047616
6,xgb,precision,0.5689655172413793
6,xgb,recall,0.44594594594594594
6,xgb,f1,0.5
6,xgb,roc_auc,0.4477650727650728
6,xgb,log_loss,0.9382175660236544
7,logistic,accuracy,0.4603174603174603
7,logistic,precision,0.5869565217391305
7,logistic,recall,0.35526315789473684
7,logistic,f1,0.4426229508196721
7,logistic,roc_auc,0.47263157894736835
7,logistic,log_loss,0.6981702552072094
7,majority,accuracy,0.6031746031746031
7,majority,precision,0.6031746031746031
7,majority,recall,1.0
7,majority,f1,0.7524752475247525
7,majority,roc_auc,0.5
7,majority,log_loss,0.6797805876728813
7,naive,accuracy,0.5555555555555556
7,naive,precision,0.631578947368421
7,naive,recall,0.631578947368421
7,naive,f1,0.631578947368421
7,naive,roc_auc,0.5
7,naive,log_loss,0.6931471805599454
7,rf,accuracy,0.4444444444444444
7,rf,precision,0.5882352941176471
7,rf,recall,0.2631578947368421
7,rf,f1,0.36363636363636365
7,rf,roc_auc,0.49631578947368427
7,rf,log_loss,0.7056550263438035
7,xgb,accuracy,0.47619047619047616
7,xgb,precision,0.5735294117647058
7,xgb,recall,0.5131578947368421
7,xgb,f1,0.5416666666666666
7,xgb,roc_auc,0.446578947368421
7,xgb,log_loss,0.9233040521491653
8,logistic,accuracy,0.5
8,logistic,precision,0.5740740740740741
8,logistic,recall,0.43661971830985913
8,logistic,f1,0.496
8,logistic,roc_auc,0.5065300896286812
8,logistic,log_loss,0.7031401618927491
8,majority,accuracy,0.5634920634920635
8,majority,precision,0.5634920634920635
8,majority,recall,1.0
8,majority,f1,0.7208121827411168
8,majority,roc_auc,0.5
8,majority,log_loss,0.6863492460780077
8,naive,accuracy,0.40476190476190477
8,naive,precision,0.4722222222222222
8,naive,recall,0.4788732394366197
8,naive,f1,0.4755244755244755
8,naive,roc_auc,0.5
8,naive,log_loss,0.6931471805599454
8,rf,accuracy,0.5634920634920635
8,rf,precision,0.5952380952380952
8,rf,recall,0.704225352112676
8,rf,f1,0.6451612903225806
8,rf,roc_auc,0.5308578745198463
8,rf,log_loss,0.6916149764172681
8,xgb,accuracy,0.5317460317460317
8,xgb,precision,0.5681818181818182
8,xgb,recall,0.704225352112676
8,xgb,f1,0.6289308176100629
8,xgb,roc_auc,0.5329065300896287
8,xgb,log_loss,0.8760649158668554
9,logistic,accuracy,0.4603174603174603
9,logistic,precision,0.7058823529411765
9,logistic,recall,0.16
9,logistic,f1,0.2608695652173913
9,logistic,roc_auc,0.49568627450980396
9,logistic,log_loss,0.7082304000089888
9,majority,accuracy,0.5952380952380952
9,majority,precision,0.5952380952380952
9,majority,recall,1.0
9,majority,f1,0.746268656716418
9,majority,roc_auc,0.5
9,majority,log_loss,0.6803543077827787
9,naive,accuracy,0.47619047619047616
9,naive,precision,0.56
9,naive,recall,0.56
9,naive,f1,0.56
9,naive,roc_auc,0.5
9,naive,log_loss,0.6931471805599454
9,rf,accuracy,0.4603174603174603
9,rf,precision,0.8181818181818182
9,rf,recall,0.12
9,rf,f1,0.20930232558139536
9,rf,roc_auc,0.447843137254902
9,rf,log_loss,0.7181367010565035
9,xgb,accuracy,0.3968253968253968
9,xgb,precision,0.48484848484848486
9,xgb,recall,0.21333333333333335
9,xgb,f1,0.2962962962962963
9,xgb,roc_auc,0.45542483660130717
9,xgb,log_loss,0.9597584240054308
10,logistic,accuracy,0.42857142857142855
10,logistic,precision,0.5
10,logistic,recall,0.027777777777777776
10,logistic,f1,0.05263157894736842
10,logistic,roc_auc,0.4763374485596708
10,logistic,log_loss,0.786426421674204
10,majority,accuracy,0.5714285714285714
10,majority,precision,0.5714285714285714
10,majority,recall,1.0
10,majority,f1,0.7272727272727273
10,majority,roc_auc,0.5
10,majority,log_loss,0.6832482689219749
10,naive,accuracy,0.47619047619047616
10,naive,precision,0.5416666666666666
10,naive,recall,0.5416666666666666
10,naive,f1,0.5416666666666666
10,naive,roc_auc,0.5
10,naive,log_loss,0.6931471805599454
10,rf,accuracy,0.5
10,rf,precision,0.6153846153846154
10,rf,recall,0.3333333333333333
10,rf,f1,0.43243243243243246
10,rf,roc_auc,0.5650720164609053
10,rf,log_loss,0.7009478843533918
10,xgb,accuracy,0.49206349206349204
10,xgb,precision,0.6333333333333333
10,xgb,recall,0.2638888888888889
10,xgb,f1,0.37254901960784315
10,xgb,roc_auc,0.5298353909465021
10,xgb,log_loss,0.9007518856305983
11,logistic,accuracy,0.47619047619047616
11,logistic,precision,0.5454545454545454
11,logistic,recall,0.34285714285714286
11,logistic,f1,0.42105263157894735
11,logistic,roc_auc,0.4872448979591837
11,logistic,log_loss,0.761092062094031
11,majority,accuracy,0.5555555555555556
11,majority,precision,0.5555555555555556
11,majority,recall,1.0
11,majority,f1,0.7142857142857143
11,majority,roc_auc,0.5
11,majority,log_loss,0.6871307965192117
11,naive,accuracy,0.5476190476190477
11,naive,precision,0.5915492957746479
11,naive,recall,0.6
11,naive,f1,0.5957446808510638
11,naive,roc_auc,0.5
11,naive,log_loss,0.6931471805599454
11,rf,accuracy,0.4523809523809524
11,rf,precision,0.5106382978723404
11,rf,recall,0.34285714285714286
11,rf,f1,0.41025641025641024
11,rf,roc_auc,0.43826530612244896
11,rf,log_loss,0.7086141165721426
11,xgb,accuracy,0.49206349206349204
11,xgb,precision,0.5428571428571428
11,xgb,recall,0.5428571428571428
11,xgb,f1,0.5428571428571428
11,xgb,roc_auc,0.43086734693877554
11,xgb,log_loss,1.1429863741285464
12,logistic,accuracy,0.4444444444444444
12,logistic,precision,0.44660194174757284
12,logistic,recall,0.7796610169491526
12,logistic,f1,0.5679012345679012
12,logistic,roc_auc,0.5039210726030863
12,logistic,log_loss,0.7662456733891977
12,majority,accuracy,0.46825396825396826
12,majority,precision,0.46825396825396826
12,majority,recall,1.0
12,majority,f1,0.6378378378378379
12,majority,roc_auc,0.5
12,majority,log_loss,0.7111398648134872
12,naive,accuracy,0.5
12,naive,precision,0.4666666666666667
12,naive,recall,0.4745762711864407
12,naive,f1,0.47058823529411764
12,naive,roc_auc,0.5
12,naive,log_loss,0.6931471805599454
12,rf,accuracy,0.48412698412698413
12,rf,precision,0.46938775510204084
12,rf,recall,0.7796610169491526
12,rf,f1,0.5859872611464968
12,rf,roc_auc,0.4652162914242347
12,rf,log_loss,0.7289315017885923
12,xgb,accuracy,0.5158730158730159
12,xgb,precision,0.48936170212765956
12,xgb,recall,0.7796610169491526
12,xgb,f1,0.6013071895424836
12,xgb,roc_auc,0.529724260055654
12,xgb,log_loss,0.8527499704448281
13,logistic,accuracy,0.4126984126984127
13,logistic,precision,0.4166666666666667
13,logistic,recall,0.9259259259259259
13,logistic,f1,0.5747126436781609
13,logistic,roc_auc,0.4858539094650206
13,logistic,log_loss,0.7656744860212198
13,majority,accuracy,0.42857142857142855
13,majority,precision,0.42857142857142855
13,majority,recall,1.0
13,majority,f1,0.6
13,majority,roc_auc,0.5
13,majority,log_loss,0.7284559719029937
13,naive,accuracy,0.49206349206349204
13,naive,precision,0.4074074074074074
13,naive,recall,0.4074074074074074
13,naive,f1,0.4074074074074074
13,naive,roc_auc,0.5
13,naive,log_loss,0.6931471805599454
13,rf,accuracy,0.5
13,rf,precision,0.4594594594594595
13,rf,recall,0.9444444444444444
13,rf,f1,0.6181818181818182
13,rf,roc_auc,0.5383230452674896
13,rf,log_loss,0.697338929829228
13,xgb,accuracy,0.48412698412698413
13,xgb,precision,0.45132743362831856
13,xgb,recall,0.9444444444444444
13,xgb,f1,0.6107784431137725
13,xgb,roc_auc,0.5393518518518519
13,xgb,log_loss,1.3110793757355172
14,logistic,accuracy,0.5
14,logistic,precision,0.5346534653465347
14,logistic,recall,0.7714285714285715
14,logistic,f1,0.631578947368421
14,logistic,roc_auc,0.48852040816326525
14,logistic,log_loss,0.6941591984795068
14,majority,accuracy,0.5555555555555556
14,majority,precision,0.5555555555555556
14,majority,recall,1.0
14,majority,f1,0.7142857142857143
14,majority,roc_auc,0.5
14,majority,log_loss,0.6869623792598123
14,naive,accuracy,0.47619047619047616
14,naive,precision,0.5285714285714286
14,naive,recall,0.5285714285714286
14,naive,f1,0.5285714285714286
14,naive,roc_auc,0.5
14,naive,log_loss,0.6931471805599454
14,rf,accuracy,0.5317460317460317
14,rf,precision,0.5604395604395604
14,rf,recall,0.7285714285714285
14,rf,f1,0.6335403726708074
14,rf,roc_auc,0.4844387755102041
14,rf,log_loss,0.6941407008994445
14,xgb,accuracy,0.5634920634920635
14,xgb,precision,0.6
14,xgb,recall,0.6428571428571429
14,xgb,f1,0.6206896551724138
14,xgb,roc_auc,0.5326530612244899
14,xgb,log_loss,0.7447287450732207
15,logistic,accuracy,0.42857142857142855
15,logistic,precision,0.5
15,logistic,recall,0.4027777777777778
15,logistic,f1,0.4461538461538462
15,logistic,roc_auc,0.4591049382716049
15,logistic,log_loss,0.7045583076396935
15,majority,accuracy,0.5714285714285714
15,majority,precision,0.5714285714285714
15,majority,recall,1.0
15,majority,f1,0.7272727272727273
15,majority,roc_auc,0.5
15,majority,log_loss,0.684596711642793
15,naive,accuracy,0.5396825396825397
15,naive,precision,0.5972222222222222
15,naive,recall,0.5972222222222222
15,naive,f1,0.5972222222222222
15,naive,roc_auc,0.5
15,naive,log_loss,0.6931471805599454
15,rf,accuracy,0.5476190476190477
15,rf,precision,0.5949367088607594
15,rf,recall,0.6527777777777778
15,rf,f1,0.6225165562913907
15,rf,roc_auc,0.48379629629629634
15,rf,log_loss,0.6997302511578354
15,xgb,accuracy,0.4523809523809524
15,xgb,precision,0.5205479452054794
15,xgb,recall,0.5277777777777778
15,xgb,f1,0.5241379310344828
15,xgb,roc_auc,0.40252057613168724
15,xgb,log_loss,0.7637856286830377
16,logistic,accuracy,0.40476190476190477
16,logistic,precision,0.5172413793103449
16,logistic,recall,0.38961038961038963
16,logistic,f1,0.4444444444444444
16,logistic,roc_auc,0.410548635038431
16,logistic,log_loss,0.7164771970719673
16,majority,accuracy,0.6111111111111112
16,majority,precision,0.6111111111111112
16,majority,recall,1.0
16,majority,f1,0.7586206896551724
16,majority,roc_auc,0.5
