model,cost_bps,cumulative_log_return,cumulative_simple_return,annualised_return,annualised_vol,sharpe,max_drawdown,calmar,win_rate,avg_win,avg_loss,win_loss_ratio,turnover
logistic,0,0.11851011828586944,0.12581826539540097,0.012474749293249415,0.14390096525334672,0.08668982359699139,-0.30120015440556724,0.041416809091180326,0.20175438596491227,0.00937686166176281,-0.01020952329709622,0.9184426528934768,
logistic,5,-0.07248988171413062,-0.0699248426210054,-0.007630513864645329,0.14399775557080785,-0.05299050554224218,-0.3220206758103994,-0.023695726510238282,0.1984126984126984,0.009424540267980832,-0.00729029889263626,1.292750874384631,
logistic,10,-0.2634898817141307,-0.23163460305936245,-0.02773577702254007,0.1441542214286409,-0.19240350194163278,-0.3640520043316885,-0.07618630495787615,0.195906432748538,0.009442407863467152,-0.007447585983619405,1.2678481167233595,
logistic,20,-0.6454898817141306,-0.4755944175338195,-0.06794630333832953,0.14464533128061713,-0.4697441855659431,-0.5043802380521976,-0.13471246137779463,0.18880534670008353,0.009609871613564592,-0.007711208425108696,1.2462212254921812,
majority,0,1.393644079898408,3.0295071770132234,0.14669937683141138,0.18234644919280102,0.804509095081425,-0.3371727790547804,0.4350866556981967,0.5543024227234754,0.0071989575336903954,-0.007683025016298255,0.9369951963476637,
majority,5,1.3746440798984079,2.953669282094657,0.14469937683141135,0.1823521153711304,0.793516305181946,-0.33717277905477994,0.4291549787531996,0.5543024227234754,0.007192175318166657,-0.007692441212155127,0.934966562604602,
majority,10,1.3556440798984077,2.879258704724582,0.14269937683141135,0.18236318023083056,0.7825010325592381,-0.3371727790547804,0.42322330180820145,0.5538847117794486,0.007190847846113391,-0.007694656786498539,0.9345248327034991,
majority,20,1.317644079898408,2.734612556103209,0.13869937683141134,0.18240150158503135,0.7604069902174183,-0.33717277905478027,0.41135994791820646,0.5526315789473685,0.007195511627857206,-0.007694200566375868,0.9351863869135458,
naive,0,0.37350478878606036,0.4528175207591232,0.039316293556427406,0.11716800661373149,0.33555485573840715,-0.28286743797457137,0.13899193854883282,0.3007518796992481,0.006236306409477389,-0.006759664738978094,0.9225762889566288,
naive,5,-0.24149521121393988,-0.2145474348557148,-0.025420548548835777,0.11738114788437085,-0.21656415026607942,-0.3291644051945162,-0.07722751350898277,0.2957393483709273,0.006112368500571268,-0.003726796174240128,1.6401134418942416,
naive,10,-0.8564952112139399,-0.5753522219573923,-0.09015739065409895,0.11772905808194974,-0.765804059957241,-0.5992809657653493,-0.1504426067311479,0.2857142857142857,0.006103202436122339,-0.0040248685420172965,1.5163731119186727,
naive,20,-2.08649521121394,-0.8758786063494782,-0.21963107486462524,0.11882399165768068,-1.8483731424993624,-0.8763275257540386,-0.2506266988197627,0.26900584795321636,0.006055982413785167,-0.004640734795109758,1.3049619685586746,
rf,0,0.8940273813238231,1.4449566221654337,0.0941081454025077,0.15662967619821155,0.6008321519059762,-0.30187638582165033,0.31174397807355203,0.2744360902255639,0.009009343992638344,-0.009410321389212677,0.9573896172096753,
rf,5,0.620027381323823,0.8589789424538901,0.06526604013934979,0.15665822091066006,0.4166142048591888,-0.30327123773314457,0.2152068248449558,0.2702589807852966,0.00902706256358407,-0.006460992694696869,1.3971634066377154,
rf,10,0.34602738132382294,0.4134413171822491,0.03642393487619189,0.1567587512484219,0.23235662816980096,-0.3227272337392525,0.11286291043420467,0.2652464494569758,0.009082318779539859,-0.0066112744435170585,1.3737621780995461,
rf,20,-0.20197261867617705,-0.18288269861064188,-0.0212602756501239,0.1571751173834847,-0.13526489436780179,-0.45211024147184875,-0.04702453892862699,0.2581453634085213,0.00911980989259864,-0.006974928473479257,1.3075130343307257,
xgb,0,0.6744382931817821,0.9629300750385266,0.07099350454545074,0.15393545283381946,0.46119008479542106,-0.30906603346050976,0.22970335416855758,0.2756892230576441,0.008372901682432125,-0.009051635853028768,0.9250153031322474,
xgb,5,0.2444382931817819,0.2769038661184906,0.025730346650713887,0.15398536258550988,0.16709605522684354,-0.33051309776068416,0.07784970346120611,0.26357560568086885,0.008569055034346093,-0.005230633671216417,1.6382441541453436,
xgb,10,-0.1855617068182181,-0.1693624220025518,-0.01953281124402296,0.15413043629752682,-0.12672909850405958,-0.44558667622951875,-0.043836165410748806,0.25856307435254805,0.008561315167151981,-0.005490506301586882,1.5592942976274455,
xgb,20,-1.0455617068182181,-0.6485056728432309,-0.11005912703349664,0.1547048291176702,-0.7114136492131378,-0.7031801703865975,-0.15651625524790871,0.24644945697577275,0.008651130263425422,-0.00598222622785916,1.4461389345553677,
buy_hold,0,1.393644079898408,3.0295071770132234,0.14669937683141138,0.18234644919280102,0.804509095081425,-0.3371727790547804,0.4350866556981967,0.5543024227234754,0.0071989575336903954,-0.007683025016298255,,
buy_hold,5,1.392644079898408,3.0254796839183866,0.14659411367351666,0.1823456644297578,0.8039352848446081,-0.33717277905478016,0.4347744621747761,0.5543024227234754,0.007198580743939077,-0.007683495826091098,,
buy_hold,10,1.3916440798984078,3.0214562163035463,0.14648885051562188,0.1823451681800394,0.8033601985602679,-0.3371727790547804,0.4344622686513548,0.5543024227234754,0.007198203954187757,-0.0076839666358839405,,
buy_hold,20,1.389644079898408,3.0134213414241273,0.14627832419983242,0.1823450412286299,0.8022062087031151,-0.33717277905478027,0.4338378816045131,0.5543024227234754,0.00719745037468512,-0.007684908255469629,,
